text,isAddress,block_num,left_top,right_bot
"CARGO FOR THE LIABILITY OF SHIPPER IT INFO: IMPORTING CARRIER LOCATION FROM PORT OF / ORIGIN AIRPORT ONE TRITON * YUSEN TERMINAL INC (LA) BERTH NING BO/NINGPO, NINGBO CHINA 214 Y790  B/L OR AWB NO ARRIVAL DATE | FREE TIME EXP LOCAL DELIVERY OR TRANSFER BY (RELEASE ORDER ISSUED TO) YMLUW232480881 14-NOV-22 NGL TRANSPORTATION CARRIERS LOCAL AGENT HAWB NO. ENTRY NO CUST REF NO | mmu-vansuincnasnereansrorr | deseatore7 [zz  FOR DELIVERY TO FOR DELIVERY AND APPOINTMENT  TRUE VALUE KINGMAN INSTRUCTIONS, CONTACT 4005 E MOHAVE AIRPORT DR KINGMAN AZ 86401 TEL: +1 800-345-0152  UNITED STATES BEFORE ATTEMPTING PICK-UP OR  DELIVERY OF CARGO",1,20,"(179, 673)","(1517, 1116)"
NO OF PKG: 1197 CT,0,21,"(183, 1158)","(325, 1216)"
"DESCRIPTION OF ARTICLES, SPECIAL MARKS & EXCEPTIONS HOUSEHOLD ARTICLES",0,22,"(347, 1157)","(1141, 1218)"
WEIGHT 37505LB 17011.82KG,0,23,"(1370, 1158)","(1494, 1245)"
1197 CT,0,21,"(185, 1266)","(273, 1294)"
DFSU6740034 (FCL 40HC),0,22,"(346, 1261)","(638, 1301)"
17011.82 KG,0,23,"(1367, 1266)","(1497, 1294)"
FAILURE OF CARRIER TO NOTIFY OUR OFFICE OF CARGO BEING DETAINED AT TERMINAL WILL RESULT IN CARRIER BEING RESPONSIBLE FOR ALL,0,0,"(192, 1711)","(1506, 1735)"
DEMURRAGE CHARGES BEING INCURRED.,0,24,"(655, 1746)","(1043, 1774)"
"*701 NEW DOCK ST, SAN PEDRO, CA 907317535",1,0,"(1059, 1786)","(1523, 1814)"
Release Order,0,0,"(211, 1812)","(407, 1846)"
FREIGHT CHARGES FOR ACCOUNT OF:,0,0,"(231, 1880)","(565, 1942)"
PREPAID / COLLECT TRUE VALUE COMPANY,0,0,"(747, 1880)","(1017, 1940)"
Received in Good Order By,0,0,"(1115, 1884)","(1371, 1944)"
ISSUED AS AGENT ONLY BOC INTERNATIONAL  21 DRYDOCK AVE STE 520W BOSTON MA 02210 US MICHAEL GAUGHAN,1,25,"(177, 1974)","(505, 2104)"
DELIVERY CLERK DELIVER TO CARRIER SHOWN ABOVE,0,0,"(1115, 2002)","(1459, 2056)"
"CARRIER MUST RETURN ONE SIGNED COPY OF RELEASE ORDER TO BOC International, Inc.",0,0,"(179, 2142)","(1171, 2172)"
text,isAddress,block_num,left_top,right_bot
"Yellow Logistics - INTERMODAL Page 1 of 1 LOGISTICS DELIVERY ORDER Date: 11-14-2022 OADED CONTAINER PICKUP:  IName: Long Beach Container Terminal  Yellow Logistics BOL Number: 9279557599 Address: Pier F Ave i Iity/State/Zip: Long Beach, CA 90802 Yellow Logistics Load Number: HNRY900275496  \Container Release Date: 11/14/22 Booking#: Booking Number:  For issues contact Yellow Logistics Intermodal at intermodal@myyellow.com / 913-906-6937  DELIVER TO: Container ID: Container Release: 11/14/22 IName: NATIONAL FURN LIQUIDATORS Seal Number: Return Empty By: 11/16/22 Address: 8600 Gateway East Delivery Appointment: Delivery Appt Time: Ref#: Name: Ngl Transportation LLC  For issues contact Yellow Logistics Intermodal at intermodal@myyellow.com / | Address: 6602 W Grant St  213-906-6937 City/State/Zip: Phoenix AZ 85043 RETURN EMPTY CONTAINER Ti  Contact: Phone: Name: Scac: NGLN MC/USDOT: 583458 Address: BILL FREIGHT CHARGES TO: \City/State/Zip:  Name: Truckload Solutions c/o Yellow Logistics Address: 5200 W. 110th St. \City/State/Zip: Overland Park, KS 66211-1203  Return Empty By: 11/16/22 For issues contact Yellow Logistics Intermodal at intermodal@myyellow.com / 913-906-6937  SPECIAL INSTRUCTION ",0,10,"(91, 108)","(1610, 984)"
ICONTAINER# DFSU7393496; MASTER BILL# 6882033510; PO# P20Z035;,0,11,"(93, 1028)","(863, 1062)"
"\Carrier/Driver must notifiy Yellow Logistics Intermodal of Arrival and Departure at the Loading Facility. Carrier/Driver must also notify Yellow Logistics 1 hour prior to detention at the Yellow Logistics Intermodal will result in unapproved detention claims.  LOAD INFORMATION  HANDLING UNIT PACKAGE WEIGHT (LBS: DIMS (LxWxH TYPE TYPE  COMMODITY DESCRIPTION**  15856.00 Lb 48x 48x48 Furniture, ",0,28,"(92, 1100)","(1549, 1304)"
"Where the rate is dependent on value, shippers are required to state specifically in writing the agreed or declared value of the property as follows:  “The agreed or declared value of the property is specifically stated by the shipper to be not exceeding per",0,29,"(106, 1322)","(809, 1428)"
Commodities requiring special or additional care or attention in handling or stowing must be so marked and packaged as to ensure safe transportation with ordinary care. See Section 2(e) of NMFC Item 360,0,30,"(874, 1334)","(1587, 1411)"
Liability limitation for loss or damage on this shipment may be applicable. See 49 U.S.C. §14706 (c)(1)(A) and (B).,0,31,"(104, 1455)","(1310, 1497)"
"RECEIVED, subject to individually determined rates or contracts that have been agreed upon in writing between the carrier and shipper, if applicable, otherwise to the rates, classifications and rules that have been established by the carrier and are available to the shipper, on request, and to all applicable state and federal regulations.",0,32,"(105, 1520)","(1594, 1577)"
"CARRIER SIGNATURE / DATE  Carrier acknowledges receipt of packages and required placards. carrier has the DOT emergency response guidebook or equivalent documentation in the vehicle. Property described above is received in good order, except as noted.",0,33,"(103, 1610)","(805, 1798)"
CONSIGNEE SIGNATURE / DATE,0,34,"(871, 1610)","(1277, 1644)"
Date: ,0,34,"(1301, 1684)","(1369, 1712)"
CONSIGNEE PRINT NAME,0,34,"(871, 1762)","(1199, 1794)"
Date: ,0,33,"(471, 1850)","(539, 1878)"
For issues contact Yellow Logistics Intermodal at intermodal@myyellow.com / 913-906-6937,0,35,"(355, 1914)","(1343, 1948)"
text,isAddress,block_num,left_top,right_bot
"Yellow Logistics - INTERMODAL Page 1 of 1 LOGISTICS DELIVERY ORDER Date: 11-14-2022 OADED CONTAINER PICKUP:  IName: Long Beach Container Terminal  Yellow Logistics BOL Number: 927955758X Address: Pier F Ave i Iity/State/Zip: Long Beach, CA 90802 Yellow Logistics Load Number: HNRY900275495  \Container Release Date: 11/14/22 Booking#: Booking Number:  For issues contact Yellow Logistics Intermodal at intermodal@myyellow.com / 913-906-6937  DELIVER TO: Container ID: Container Release: 11/14/22 IName: NATIONAL FURN LIQUIDATORS Seal Number: Return Empty By: 11/16/22 Address: 8600 Gateway East Delivery Appointment: Delivery Appt Time: Ref#: Name: Ngl Transportation LLC  For issues contact Yellow Logistics Intermodal at intermodal@myyellow.com / | Address: 6602 W Grant St  213-906-6937 City/State/Zip: Phoenix AZ 85043 RETURN EMPTY CONTAINER Ti  Contact: Phone: Name: Scac: NGLN MC/USDOT: 583458 Address: BILL FREIGHT CHARGES TO: \City/State/Zip:  Name: Truckload Solutions c/o Yellow Logistics Address: 5200 W. 110th St. \City/State/Zip: Overland Park, KS 66211-1203  Return Empty By: 11/16/22 For issues contact Yellow Logistics Intermodal at intermodal@myyellow.com / 913-906-6937  SPECIAL INSTRUCTION ",0,10,"(91, 108)","(1610, 984)"
ICONTAINER# TGBU4779996; MASTER BILL# 6882033391; PO# POW5J39;,0,11,"(93, 1029)","(869, 1062)"
"\Carrier/Driver must notifiy Yellow Logistics Intermodal of Arrival and Departure at the Loading Facility. Carrier/Driver must also notify Yellow Logistics 1 hour prior to detention at the Yellow Logistics Intermodal will result in unapproved detention claims.  LOAD INFORMATION  HANDLING UNIT PACKAGE WEIGHT (LBS: DIMS (LxWxH TYPE TYPE  COMMODITY DESCRIPTION**  22972.00 Lb 48x 48x48 Furniture, ",0,28,"(92, 1100)","(1549, 1304)"
"Where the rate is dependent on value, shippers are required to state specifically in writing the agreed or declared value of the property as follows:  “The agreed or declared value of the property is specifically stated by the shipper to be not exceeding per",0,29,"(106, 1322)","(809, 1428)"
Commodities requiring special or additional care or attention in handling or stowing must be so marked and packaged as to ensure safe transportation with ordinary care. See Section 2(e) of NMFC Item 360,0,30,"(874, 1334)","(1587, 1411)"
Liability limitation for loss or damage on this shipment may be applicable. See 49 U.S.C. §14706 (c)(1)(A) and (B).,0,31,"(104, 1455)","(1310, 1497)"
"RECEIVED, subject to individually determined rates or contracts that have been agreed upon in writing between the carrier and shipper, if applicable, otherwise to the rates, classifications and rules that have been established by the carrier and are available to the shipper, on request, and to all applicable state and federal regulations.",0,32,"(105, 1520)","(1594, 1577)"
"CARRIER SIGNATURE / DATE  Carrier acknowledges receipt of packages and required placards. carrier has the DOT emergency response guidebook or equivalent documentation in the vehicle. Property described above is received in good order, except as noted.",0,33,"(103, 1610)","(805, 1798)"
CONSIGNEE SIGNATURE / DATE,0,34,"(871, 1610)","(1277, 1644)"
Date: ,0,34,"(1301, 1684)","(1369, 1712)"
CONSIGNEE PRINT NAME,0,34,"(871, 1762)","(1199, 1794)"
Date: ,0,33,"(471, 1850)","(539, 1878)"
For issues contact Yellow Logistics Intermodal at intermodal@myyellow.com / 913-906-6937,0,35,"(355, 1914)","(1343, 1948)"
text,isAddress,block_num,left_top,right_bot
"Yellow Logistics - INTERMODAL Page 1 of 1 LOGISTICS DELIVERY ORDER Date: 11-14-2022 OADED CONTAINER PICKUP:  IName: Long Beach Container Terminal  Yellow Logistics BOL Number: 9279557561 Address: Pier F Ave i Iity/State/Zip: Long Beach, CA 90802 Yellow Logistics Load Number: HNRY900275493  \Container Release Date: 11/14/22 Booking#: Booking Number:  For issues contact Yellow Logistics Intermodal at intermodal@myyellow.com / 913-906-6937  DELIVER TO: Container ID: Container Release: 11/14/22 IName: NATIONAL FURN LIQUIDATORS Seal Number: Return Empty By: 11/16/22 Address: 8600 Gateway East Delivery Appointment: Delivery Appt Time: Ref#: Name: Ngl Transportation LLC  For issues contact Yellow Logistics Intermodal at intermodal@myyellow.com / | Address: 6602 W Grant St  213-906-6937 City/State/Zip: Phoenix AZ 85043 RETURN EMPTY CONTAINER Ti  Contact: Phone: Name: Scac: NGLN MC/USDOT: 583458 Address: BILL FREIGHT CHARGES TO: \City/State/Zip:  Name: Truckload Solutions c/o Yellow Logistics Address: 5200 W. 110th St. \City/State/Zip: Overland Park, KS 66211-1203  Return Empty By: 11/16/22 For issues contact Yellow Logistics Intermodal at intermodal@myyellow.com / 913-906-6937  SPECIAL INSTRUCTION ",0,10,"(91, 108)","(1610, 984)"
ICONTAINER# FFAU3330689; MASTER BILL# 6882033390; PO# POWS5J34;,0,11,"(93, 1028)","(867, 1062)"
"\Carrier/Driver must notifiy Yellow Logistics Intermodal of Arrival and Departure at the Loading Facility. Carrier/Driver must also notify Yellow Logistics 1 hour prior to detention at the Yellow Logistics Intermodal will result in unapproved detention claims.  LOAD INFORMATION  HANDLING UNIT PACKAGE WEIGHT (LBS: DIMS (LxWxH COMMODITY DESCRIPTION** TYPE TYPE  24694.00 Lb | 48x 48x48 Furniture, ",0,28,"(91, 1100)","(1549, 1304)"
"Where the rate is dependent on value, shippers are required to state specifically in writing the agreed or declared value of the property as follows:  “The agreed or declared value of the property is specifically stated by the shipper to be not exceeding per",0,29,"(106, 1322)","(809, 1428)"
Commodities requiring special or additional care or attention in handling or stowing must be so marked and packaged as to ensure safe transportation with ordinary care. See Section 2(e) of NMFC Item 360,0,30,"(874, 1334)","(1587, 1411)"
Liability limitation for loss or damage on this shipment may be applicable. See 49 U.S.C. §14706 (c)(1)(A) and (B).,0,31,"(104, 1455)","(1310, 1497)"
"RECEIVED, subject to individually determined rates or contracts that have been agreed upon in writing between the carrier and shipper, if applicable, otherwise to the rates, classifications and rules that have been established by the carrier and are available to the shipper, on request, and to all applicable state and federal regulations.",0,32,"(105, 1520)","(1594, 1577)"
"CARRIER SIGNATURE / DATE  Carrier acknowledges receipt of packages and required placards. carrier has the DOT emergency response guidebook or equivalent documentation in the vehicle. Property described above is received in good order, except as noted.",0,33,"(103, 1610)","(805, 1798)"
CONSIGNEE SIGNATURE / DATE,0,34,"(871, 1610)","(1277, 1644)"
Date: ,0,34,"(1301, 1684)","(1369, 1712)"
CONSIGNEE PRINT NAME,0,34,"(871, 1762)","(1199, 1794)"
Date: ,0,33,"(471, 1850)","(539, 1878)"
For issues contact Yellow Logistics Intermodal at intermodal@myyellow.com / 913-906-6937,0,35,"(355, 1914)","(1343, 1948)"
text,isAddress,block_num,left_top,right_bot
"AFL / American Freight Logistics, Inc.  rT 7733 Rowland Street ,City of Industry, CA 91748, UNITED STA TES Tel:626-965-0188 Fax:626-965-6231 ",1,0,"(139, 102)","(1103, 256)"
patrick(patrick. wu@alfl-inc.com),0,0,"(1199, 188)","(1570, 260)"
DELIVERY ORDER  FROM PORT/ORIGINAL PORT - ‘OUR REF. NO. TAICHUNG LAX-01183040-237734,0,10,"(531, 280)","(1175, 416)"
IMPORTING CARRIER YM UNIFORMITY 0226E,0,0,"(137, 343)","(452, 416)"
"ARR DATE | LAST FREE Date Nov 23, 202:",0,12,"(1209, 350)","(1587, 418)"
DELIVER TO:,0,13,"(140, 428)","(291, 460)"
"Paper Line Products 3841 N 36th Ave Phoenix, AZ 85019 Volsis 818 593 9076",1,14,"(303, 432)","(577, 562)"
"__ LOCATION OF MERCHANDISE  WEBCT - CSC LOS ANGELES WEST BASIN CONTAINER TE} BERTH 100, 2050 JOHN S. GIBSON BLVD (Y773)  SAN PEDRO, CA90731, UNITED STATES  TEL: 877-391 2725/3105192300",0,16,"(905, 430)","(1609, 592)"
THE CARRIER OR CARTMAN TO WHOM THIS ORDER IS ASSIGNED WILL BE RESPONSIBLE FOR ANY STORAGE AND DEMURRAGE CHARGES RESULTING FROM NEGLIGENCE,0,17,"(134, 627)","(1496, 694)"
BROKER/IMPORTER NAME,0,0,"(255, 708)","(561, 738)"
‘AUTHORIZED SIGNATURE,0,0,"(777, 706)","(1075, 738)"
FREIGHT CHARGE,0,0,"(1238, 707)","(1454, 735)"
Patrick,0,22,"(697, 756)","(791, 788)"
PREPAID |,0,23,"(1179, 758)","(1293, 792)"
COLLECT,0,23,"(1357, 756)","(1477, 788)"
,0,0,"(1039, 808)","(1253, 866)"
TRUCKING COMPANY NAME,0,0,"(395, 822)","(723, 854)"
‘PKGS RECEIVED,0,0,"(1345, 822)","(1542, 854)"
NGL TRANSPORTATION (is authorized to pick up the merchandise below),0,28,"(211, 878)","(710, 952)"
Tel : 623-930-0932,0,28,"(735, 876)","(965, 912)"
Fax : 623-937-2576,0,30,"(735, 922)","(971, 956)"
MARKS & NUMBERS / REM,0,0,"(181, 970)","(485, 1000)"
B/L OR AWB NO.,0,0,"(669, 968)","(865, 1002)"
DESCRIPTION OF GOODS & WT.,0,0,"(1087, 966)","(1449, 1000)"
M BIL No. : HDMUTPEM19267300 AMS No.:  B/L No. : TWEB2211027  Sub B/L No. :  CONTAINER RETURN LOCATION =>,0,35,"(545, 1014)","(953, 1200)"
TOTAL WEIGHT TOTAL VOLUME PCS: 1041,0,36,"(997, 1012)","(1209, 1128)"
"21,320.2 LBs 2,432.10.0 CBF",0,36,"(1267, 1016)","(1463, 1090)"
Vessel: YM UNIFORMITY Voyage: 0226E,0,34,"(132, 1044)","(439, 1114)"
PLASTIC CUPS AND PLASTIC LIDS,0,36,"(999, 1138)","(1431, 1174)"
"THE RECEIPT OF THIS DELIVERY ORDER WILL SERVE AS A PRELIMINARY NOTICE OF INTENT TO FILE CLAIM AGAINST THE IMPORTING CARRIER FOR ANY DAMAGE TO, AND/OR LOSS OF THE SHIPMENT WITH THE UNDERSTANDING THAT THE FINAL CLAIM WILL BE MADE BY THE IMPORTER OR THEIR INSURANCE COMPANY.",0,0,"(135, 1373)","(1527, 1448)"
CONTAINER No.,0,0,"(153, 1480)","(363, 1514)"
SEAL No.,0,0,"(469, 1484)","(599, 1518)"
TYPE,0,0,"(741, 1482)","(821, 1516)"
PIECE,0,0,"(909, 1478)","(999, 1512)"
WEIGHT,0,40,"(1015, 1477)","(1133, 1511)"
CBM,0,0,"(1161, 1478)","(1235, 1512)"
PICK UP No.,0,0,"(1265, 1478)","(1429, 1512)"
LAST FREE.,0,0,"(1455, 1478)","(1611, 1512)"
GAOQU6362311,0,47,"(127, 1538)","(313, 1572)"
40 Ft HQ,0,49,"(723, 1538)","(841, 1572)"
"1,041",0,50,"(929, 1542)","(1005, 1576)"
"9,671",0,51,"(1059, 1540)","(1139, 1576)"
68.9,0,52,"(1181, 1540)","(1247, 1574)"
"The liability of American Freight Logistics, Inc. is limited to fifty dollars($50) per shipment unless a greater value declared and charges for such greater value paid. Charges for greater value will be based upon current insurance rate for additional cargo insurance deemed necessary to excess value.",0,0,"(151, 1931)","(1530, 2030)"
text,isAddress,block_num,left_top,right_bot
"OTA AMERICA, INC.  16001 MANNING WAY, CERRITOS, CA. 90703 TEL: 562-926-8898 FAX: 562-926-8884 EMAIL: MIN@OTAAMERICA.COM  Pickup/Delivery Instruction  Date",1,0,"(484, 69)","(1225, 346)"
"To Trucking Co.  NGL TRANSPORTATION 6602 W.GRANT ST PHOENIX, AZ 85043 JESSICA  TEL :623-930-0932 EXT102 jessica.a@ngltrans.net Pick-Up At  PIERA  700 PIER A PLAZA  LONG BEACH, CA 90813, USA CSR  TEL :866-545-3142",1,0,"(99, 316)","(473, 714)"
By MINWOO KIM,0,0,"(1253, 318)","(1435, 388)"
Nov-07-2022,0,0,"(867, 368)","(1025, 398)"
Commodity,0,0,"(858, 423)","(991, 456)"
Total Pkgs 26 PKGS 40HQ x 1,0,0,"(1255, 422)","(1382, 514)"
GAS WATER HEATER,0,0,"(867, 478)","(1139, 510)"
Pick-Up Ref. No. VAN MARCKE 4500141955,0,0,"(856, 529)","(1192, 600)"
Pick-Up Contact,0,0,"(1252, 529)","(1439, 562)"
Pick-Up Date/Time,0,0,"(857, 638)","(1071, 668)"
"Deliver To  VAN MARCKE TRADE SUPPLY 813 E UNIVERSITY DR PHOENIX, AZ 85034  TEL :480-232-1260",1,0,"(101, 744)","(481, 898)"
Delivery Ref. No. COKR22022165,0,0,"(857, 741)","(1065, 814)"
Delivery Contact,0,0,"(1252, 742)","(1443, 776)"
Delivery Date/Time,0,0,"(858, 847)","(1073, 882)"
,0,0,"(1253, 846)","(1413, 884)"
"Bill To: OTA AMERICA, INC.  16001 MANNING WAY, CERRITOS, CA. 90703 TEL : 562-926-8898 FAX : 562-926-8884",1,0,"(101, 956)","(655, 1082)"
Billing Reference No.,0,0,"(857, 952)","(1091, 989)"
Carrier,0,0,"(1254, 955)","(1341, 986)"
LAX0O1228359,0,0,"(867, 1006)","(1041, 1038)"
SM LINE,0,0,"(1261, 1010)","(1369, 1038)"
Master B/L No,0,0,"(859, 1062)","(1025, 1090)"
Vessel.,0,0,"(1254, 1061)","(1341, 1093)"
Voyage No,0,0,"(1354, 1063)","(1483, 1095)"
SMLMSEL2K7815500,0,0,"(867, 1116)","(1129, 1148)"
SM PORTLAND 2207E,0,0,"(1261, 1116)","(1533, 1148)"
Container No. LT. No:  CAIU9900319 / 40HQ / SM522849 / 26PKGS / 12742.8KGS / 28092.78LBS,0,0,"(101, 1168)","(791, 1266)"
House B/L No,0,0,"(859, 1168)","(1021, 1196)"
AMS House BL No.  CJKCCOKR22022165 E.T.A Nov-22-2022  E.T.A 11/26/2022,0,0,"(1255, 1166)","(1549, 1376)"
"COKR22022165 Port of Discharge LONG BEACH,CA Place of Delivery PHOENIX,AZ",0,0,"(859, 1206)","(1087, 1378)"
MARK,0,0,"(101, 1406)","(187, 1436)"
DESCRIPTION  GAS WATER HEATER * INVOICE NO. AND DATE KNUSVM221104C(VAN MARCKE 4500141955),0,0,"(393, 1403)","(947, 1536)"
PKGS  26 PKGS~ 40HQ x 1,0,0,"(1007, 1404)","(1135, 1506)"
WEIGHT 12742.80 KGS 28092.78 LBS,0,0,"(1187, 1404)","(1373, 1506)"
MEASUREMENT  61.880 CBM 2185 CFT,0,0,"(1400, 1403)","(1606, 1506)"
Special Instruction,0,0,"(87, 1815)","(352, 1858)"
VAN MARCKE 4500141955,0,0,"(453, 1818)","(782, 1850)"
You are requested to inform us immediately of any occurrence. Thank You for your service !,0,0,"(358, 2066)","(1372, 2149)"
text,isAddress,block_num,left_top,right_bot
"NEPTUNE SHIPPING LIMITED (LAX) 13300 CROSSROADS PARKWAY NORTH, SUITE 165 (WEPTUNE CITY OF INDUSTRY, CA 91746, UNITED STATES seny oun emcever TEL: 626-442-8049 FAX: 626-442-8062 EMAIL: OP6@neptuneus.com Prepared by Regina Liu 11-09-2022 11:30 (PST)",0,0,"(73, 89)","(1019, 302)"
PICKUP & DELIVERY ORDER,0,0,"(1098, 179)","(1636, 225)"
ISSUED AT:,0,2,"(881, 332)","(1013, 360)"
11-09-2022,0,0,"(1027, 332)","(1147, 360)"
ISSUED BY :,0,3,"(1183, 332)","(1313, 360)"
REGINA LIU,0,0,"(1359, 332)","(1491, 360)"
"TRUCKER NGL TRANSPORTATION 6602 WEST GRANT STREET PHOENIX, AZ 85043, UNITED STATES TEL: 623-930-0932",1,0,"(58, 400)","(459, 524)"
MB/L NO.  ONEYTA0VD3481400  OUR REF. NO. TK-22110015  CARRIER,0,6,"(881, 400)","(1246, 570)"
HB/L NO. NTT221000270  CARRIER BKG NO.,0,5,"(1267, 400)","(1531, 504)"
"FREIGHT PICKUP LOCATION TRAPAC - BERTH 136 (Y258) (Y258) BERTHS 136-141 920 WEST HARRY BRIDGES BLVD WILMINGTON, CA 90744, UNITED STATES",1,0,"(59, 580)","(505, 708)"
VESSEL INFO. YM TOPMOST / 006E  PLACE OF RECEIPT,0,8,"(881, 608)","(1163, 702)"
ETD,0,8,"(1460, 677)","(1514, 701)"
"PORT OF LOADING QINGDAO (CHINA)  PORT OF DISCHARGE LOS ANGELES, CA (UNITED STATES)  PLACE OF DELIVERY",0,11,"(881, 740)","(1371, 900)"
ETD 10-30-2022 ETA 11-18-2022 ETA,0,11,"(1457, 743)","(1619, 900)"
REF. NO. DATE:,0,0,"(75, 782)","(175, 834)"
"DELIVERY TO CONCRETE SUPPORT SYSTEMS 20 S. 69TH AVENUE PHOENIX, AZ 85043, UNITED STATES TEL: 832-586-6422",1,0,"(57, 860)","(459, 986)"
"TOTAL PACKAGES 27 PACKAGES  GROSS WEIGHT 39,638.00 KGS  MEASUREMENT 60.00 CBM  COMMODITY CONSTRUCTION BRACKET SUPPORT  PO NO.",0,16,"(881, 938)","(1377, 1230)"
PORT CUT-OFF,0,12,"(1427, 938)","(1597, 966)"
"87,386.83 LBS",0,13,"(1448, 1030)","(1641, 1067)"
REF. NO. DATE:,0,0,"(75, 1064)","(175, 1116)"
"2,118.88 CFT",0,14,"(1462, 1097)","(1639, 1134)"
EMPTY RETURN LOCATION,0,0,"(59, 1144)","(347, 1172)"
"BILL TO NEPTUNE SHIPPING LIMITED 13300 CROSSROADS PKWY NORTH, SUITE 165 CITY OF INDUSTRY, CA 91746 TEL: 626-442-8049 FAX: 626-442-8062 UNITED STATES REF. NO. :",0,17,"(881, 1268)","(1383, 1474)"
REF. NO. DATE:,0,0,"(75, 1344)","(175, 1396)"
CONTAINER NO. KKFU7749107 NYKU5204177,0,0,"(53, 1493)","(233, 1592)"
TYPE 40HC 40HC ,0,22,"(311, 1494)","(379, 1592)"
SEAL NO.  CNCC21006 CNCC21017,0,23,"(391, 1494)","(523, 1592)"
PACKAGE 13 PACKAGES 14 PACKAGES,0,24,"(689, 1494)","(909, 1592)"
"WEIGHT | PICKUP NO.  19,790.00 KGS / 43,629.48 LBS 19,848.00 KGS / 43,757.35 LBS",0,26,"(981, 1494)","(1425, 1594)"
L.F.D,0,0,"(1532, 1497)","(1598, 1521)"
P.O.D REQUIRED WITH BILLING INVOICE PLEASE FAX PROOF OF DELIVERY TO 626-442-8062,0,27,"(68, 1700)","(605, 1752)"
INSTRUCTION,0,28,"(849, 1698)","(1007, 1728)"
NOTICE: BAD ORDER PACKAGES MUST BE SIGNED FOR AS IN CONDITION RECEIVED.,0,27,"(68, 1768)","(715, 1820)"
